Thread ID: 213420
Total: 18.837325

 %self     total     self     wait    child    calls  name
  0.04      0.01     0.01     0.00     0.00      400  ActiveRecord::AttributeMethods#respond_to?
  0.04      0.01     0.01     0.00     0.00      400  <Module::Process>#times
  0.04      0.01     0.01     0.00     0.00     1001  Fixnum#/
  0.03      0.01     0.01     0.00     0.01      400  SQLite3::Pragmas#tweak_default
  0.03      0.11     0.01     0.00     0.10      200  ActionController::MimeResponds::Responder#method_missing
  0.03      0.01     0.01     0.00     0.01      500  ActiveSupport::CoreExtensions::Array::Conversions#to_s
  0.03      0.03     0.01     0.00     0.03      100  SQLite3::Pragmas#version_compare
  0.03      0.03     0.01     0.00     0.03      300  Dependencies#qualified_name_for
  0.03      0.01     0.01     0.00     0.00      500  Array#collect-1
  0.03      0.01     0.01     0.00     0.00     1500  <Module::Dependencies>#constant_watch_stack
  0.03      1.09     0.01     0.00     1.09      100  ActionController::Helpers::ClassMethods#default_helper_module!
  0.03      0.04     0.01     0.00     0.04      600  ActiveSupport::CoreExtensions::String::Inflections#underscore
  0.03      0.02     0.01     0.00     0.01      300  Module#parent
  0.03      0.01     0.01     0.00     0.00     1000  <Module::SQLite3::Driver::Native::API>#sqlite3_column_name
  0.03      0.02     0.01     0.00     0.01      100  CGI::Session::CookieStore#initialize
  0.03      0.01     0.01     0.00     0.00     1000  Kernel#remove_instance_variable
  0.03      0.91     0.01     0.00     0.91      100  SQLite3::Database#initialize
  0.03      4.01     0.01     0.00     4.01      200  Class#const_missing
  0.03      0.01     0.01     0.00     0.01      500  <Class::ActiveRecord::Base>#active_connection_name
  0.03      0.01     0.01     0.00     0.00      500  Dependencies#load?
  0.03      0.02     0.01     0.00     0.02      400  ActiveRecord::XmlSerializer#serializable_method_attributes
  0.03      0.01     0.01     0.00     0.00      100  CGI::Cookie#initialize
  0.03      0.03     0.01     0.00     0.02      600  ActiveSupport::CoreExtensions::String::Inflections#constantize-1
  0.03      0.01     0.01     0.00     0.00      900  Array#zip
  0.03      2.32     0.01     0.00     2.31      100  <Module::Benchmark>#realtime-1
  0.03      0.01     0.01     0.00     0.00      600  ActionController::AbstractRequest#request_method
  0.03      2.00     0.01     0.00     1.99      400  ActiveRecord::XmlSerializer#serializable_attributes
  0.03      0.01     0.01     0.00     0.00     1201  Float#-
  0.03      0.10     0.01     0.00     0.09      300  ActiveRecord::AttributeMethods::ClassMethods#define_write_method
  0.03      0.02     0.01     0.00     0.01      300  ActionController::AbstractRequest#method
  0.03      0.01     0.01     0.00     0.01      100  <Object::ActionController::Routing::Route>#recognize
  0.03      0.01     0.01     0.00     0.00     1000  Module#to_s
  0.03      0.32     0.01     0.00     0.31      100  Array#reverse_each
  0.03      2.35     0.01     0.00     2.34      100  ActionController::Benchmarking::ClassMethods#benchmark
  0.03      0.01     0.01     0.00     0.00      800  <Class::Hash>#[]
  0.03      0.01     0.01     0.00     0.00     1000  <Module::SQLite3::Driver::Native::API>#sqlite3_column_decltype
  0.03      0.05     0.01     0.00     0.05      400  ActiveRecord::AttributeMethods::ClassMethods#cache_attribute?
  0.03      0.01     0.01     0.00     0.00      300  <Class::ActiveRecord::Base>#connected?
  0.03      0.02     0.01     0.00     0.01      200  SQLite3::ResultSet#commence
  0.03      0.01     0.01     0.00     0.00     1100  String#size
  0.03      0.05     0.01     0.00     0.04      100  ActionController::Filters::InstanceMethods#run_before_filters
  0.03      2.64     0.01     0.00     2.64      100  ActionController::Routing::RouteSet#recognize
  0.03      0.45     0.01     0.00     0.44      100  ActiveRecord::AttributeMethods#method_missing
  0.03      0.02     0.01     0.00     0.02      100  ActionController::SessionManagement::ClassMethods#session_options_for
  0.03      0.01     0.01     0.00     0.00     1100  Module#extended
  0.03      0.01     0.01     0.00     0.01      100  ActionController::Base#render_for_text
  0.03      0.01     0.01     0.00     0.01     1200  ActiveRecord::AttributeMethods::ClassMethods#generated_methods
  0.03      0.01     0.01     0.00     0.00      300  <Class::Proc>#new
  0.03      0.07     0.01     0.00     0.06      100  ActionController::Integration::Session#parse_result
  0.03      0.01     0.01     0.00     0.01      200  ActionController::AbstractResponse#charset
  0.03      0.03     0.01     0.00     0.02      100  ActionController::Base#assign_default_content_type_and_charset
  0.03      0.01     0.01     0.00     0.00      800  SQLite3::Driver::Native::Driver#data_count
  0.03      0.75     0.01     0.00     0.75      200  <Class::ActiveRecord::Base>#columns
  0.03      0.06     0.01     0.00     0.05      100  CGI#initialize_without_stdinput
  0.03      0.02     0.01     0.00     0.01      100  ActionController::MimeResponds::Responder#initialize
  0.03      0.01     0.01     0.00     0.00     1000  Module#method_undefined
  0.03      0.03     0.01     0.00     0.02      100  ActionController::Base#initialize_template_class
  0.03      1.25     0.01     0.00     1.25      100  ActionController::Helpers::ClassMethods#inherited
  0.03      0.61     0.00     0.00     0.61      100  SQLite3::Pragmas#table_info
  0.03      0.00     0.00     0.00     0.00     1000  Float#to_i
  0.03      0.01     0.00     0.00     0.00      400  ActiveRecord::ConnectionAdapters::Column#extract_scale
  0.03      0.84     0.00     0.00     0.83      100  <Class::ActiveRecord::Base>#find
  0.03      0.02     0.00     0.00     0.02      100  ActionController::Dispatcher#prepare_application
  0.03      0.01     0.00     0.00     0.00      500  <Module::SQLite3::Error>#check
  0.03      0.01     0.00     0.00     0.01      200  ActionController::MimeResponds::Responder#custom
  0.03      0.05     0.00     0.00     0.05      100  Class#inherited_without_layout
  0.03      0.02     0.00     0.00     0.02      200  <Class::ActiveRecord::Base>#subclasses-1
  0.02      0.01     0.00     0.00     0.01      100  <Class::ActiveRecord::Base>#add_conditions!
  0.02      0.01     0.00     0.00     0.00      300  Array#inspect
  0.02     12.89     0.00     0.00    12.88      100  ActionController::Filters::InstanceMethods#call_filters
  0.02      0.30     0.00     0.00     0.30      100  ActionController::Dispatcher#cleanup_application
  0.02      0.25     0.00     0.00     0.25      100  <Class::ActionController::Base>#hidden_actions
  0.02      0.01     0.00     0.00     0.01      300  Dependencies#load_once_path?
  0.02      0.00     0.00     0.00     0.00      900  Float#*
  0.02      0.04     0.00     0.00     0.04      400  ActiveRecord::AttributeMethods::ClassMethods#cached_attributes
  0.02      0.00     0.00     0.00     0.00      200  Kernel#instance_variables
  0.02      0.00     0.00     0.00     0.00      800  <Module::SQLite3::Driver::Native::API>#sqlite3_data_count
  0.02      0.00     0.00     0.00     0.00      900  Kernel#equal?
  0.02      0.03     0.00     0.00     0.02      100  Class#inherited
  0.02      0.01     0.00     0.00     0.00      500  Kernel#inspect
  0.02      0.53     0.00     0.00     0.52      100  ActiveRecord::ConnectionAdapters::QueryCache#cache_sql
  0.02      0.00     0.00     0.00     0.00      900  String#length
  0.02      0.00     0.00     0.00     0.00      800  Kernel#respond_to_without_attributes?
